timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1672357847,1531489016.671809863575297224027541,4536234884.768754381434388335571251,4536234884.768754381434388335571251
1672444787,1527681650.444698567141916456611125,4502459092.135246849793650469579545,4502459092.135246849793650469579545
1672531151,1519474456.461540578437959109221316,4508139496.148952517021673007670918,4508139496.148952517021673007670918
1672617599,1521370275.164689559781367421732338,4511430654.780198147314483962394469,4511430654.780198147314483962394469
1672703963,1541724176.145660860904692594710653,4577627586.494081076872649480341683,4577627586.494081076872649480341683
1672789943,1528166937.172220220866838717984402,4555702879.083360369057113996614115,4555702879.083360369057113996614115
1672876703,1543918285.437811471105270703426908,4622783295.506280717562256174937552,4622783295.506280717562256174937552
1672963187,1538516037.051267512453696750903842,4597397653.943328054204731955441851,4597397653.943328054204731955441851
1673049503,1555660775.289787801979969110857937,4625427703.69036835707060707724197,4625427703.69036835707060707724197
1673135963,1555322758.717013942028957205175421,4621773648.221438179651755053890027,4621773648.221438179651755053890027
1673222327,1560760574.508026577148098131244499,4754760199.708436710900297010108917,4754760199.708436710900297010108917
1673308427,1580361605.98545712857461189855837,4842773436.041556743307512946351942,4842773436.041556743307512946351942
1673395031,1586996679.08350917799488397348142,4883393908.271493725485188870620629,4883393908.271493725485188870620629
1673481515,1612288933.682629065466388376159272,5000564861.153122846010314484892027,5000564861.153122846010314484892027
1673567879,1639591050.284900634576740402519974,5129875246.306952262508850088345154,5129875246.306952262508850088345154
1673654327,1660759131.547352806364318970651012,5222337427.855227717963917315038843,5222337427.855227717963917315038843
1673740787,1690729246.887122180985695697676258,5368224046.460755080955975757278142,5368224046.460755080955975757278142
1673827055,1678856982.688948837023928426208648,5381325059.697267865304167137399731,5381325059.697267865304167137399731
1673913527,1708482451.047250608976490894649335,5445698840.09159854905510640535427,5445698840.09159854905510640535427
1673999387,1733431846.125834334107947544618147,5429660384.001996299754110384831571,5429660384.001996299754110384831571
1674086387,1709990495.461981707604673928866598,5268284810.310079119982376539412096,5268284810.310079119982376539412096
1674172775,1714453670.152966217335537134149137,5334367239.718949532793010141678962,5334367239.718949532793010141678962
1674259103,1738624673.067423528096389390835624,5589875507.810316516641911974135802,5589875507.810316516641911974135802
1674345479,1748757117.164459885534337350314027,5552809564.846195896270965804338416,5552809564.846195896270965804338416
1674431927,1762867337.435775827347932260058307,5560203828.74292115489440430796231,5560203828.74292115489440430796231
1674518147,1762538422.161312345837009009700067,5604226830.815979456552093000902666,5604226830.815979456552093000902666
1674604775,1750896621.135121510521992680993275,5455484188.725961965840188255894416,5455484188.725961965840188255894416
1674691151,1751706892.156712833733990692630802,5535621470.15474575107972458286692,5535621470.15474575107972458286692
1674777587,1718175257.882805514467466811792,5478783407.245153777496007613117446,5478783407.245153777496007613117446
1674863879,1724631222.907528643327915280713393,5452533603.376760692180581187727173,5452533603.376760692180581187727173
1674950267,1700035668.180217802327121058117368,5431330802.469153612533523357452456,5431330802.469153612533523357452456
1675036799,1764259004.148061874512369203711263,5579153502.372352279770875449622823,5579153502.372352279770875449622823
1675122911,1710071863.162038167758215659682453,5349953237.116928845472190903740027,5349953237.116928845472190903740027
