timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1646160868,32738791.33453800994013846605875463,81850375.11402824709795390699500051,81850375.11402824709795390699500051
1646264898,35773410.00763177945393663278899262,86950374.6655495849440235948163788,86950374.6655495849440235948163788
1646351522,35588299.36746241335381690590316434,87977421.74118034901487943756333571,87977421.74118034901487943756333571
1646431222,35008243.27816779497791073579100594,84538128.40285937780856091769219806,84538128.40285937780856091769219806
1646524730,35820570.99477224112286677497019926,85661162.4941028241375634013929376,85661162.4941028241375634013929376
1646594605,36963594.31089820248180214525300141,87366285.50139638499837884803269317,87366285.50139638499837884803269317
1646697165,31623275.79540371250329143273060031,81530450.9404298237061780680519071,81530450.9404298237061780680519071
1646765515,32448439.22075183986356094908669583,83099110.58700365239835265345438745,83099110.58700365239835265345438745
1646869526,32925796.07778194067230440990535336,84264037.7011661334968612090918991,84264037.7011661334968612090918991
1646956241,32412589.37532101125497278688431094,83311202.20051762854901073699428517,83311202.20051762854901073699428517
1647040957,32333613.95641087113772976220895599,82370186.13056333859012323844083937,82370186.13056333859012323844083937
1647121687,32614871.00615002631661266673395745,82605326.77315061330746177034110737,82605326.77315061330746177034110737
1647213627,35355175.16986660967151123317093509,85500109.4545038240278141784602122,85500109.4545038240278141784602122
1647302391,35492858.74676159124895324487435832,86043307.20111117190901144816044792,86043307.20111117190901144816044792
1647378370,37417643.57692465801089054258367271,89293383.76476228265207807632416098,89293383.76476228265207807632416098
1647474969,40952040.51019827056916220548894984,94084347.32505193754573939280433322,94084347.32505193754573939280433322
1647547407,40165873.33177506422972128912488718,93407299.2066984725579634040659449,93407299.2066984725579634040659449
1647647102,40539587.79996798742029177766598732,93890776.81077351670206275262986471,93890776.81077351670206275262986471
1647721693,40667298.79832805548206066336050394,95793090.38179617776607202566650753,95793090.38179617776607202566650753
1647819010,43182266.88933746942317692868776232,98564897.30211842364853056358920905,98564897.30211842364853056358920905
1647907166,49792414.83867718364944751096755896,109654010.0404058082544139145785657,109654010.0404058082544139145785657
1647993584,69256528.24172914741310354242680155,144192144.2682600271058129837230981,144192144.2682600271058129837230981
1648078495,84795572.38547617755121841218227499,161917300.5104365279265132572493774,161917300.5104365279265132572493774
1648166024,91053711.55276515459799727774121427,172081231.4412485939672641346528517,172081231.4412485939672641346528517
1648245039,96743770.96474077747720597841392222,177060348.8031363901743606777644365,177060348.8031363901743606777644365
1648337931,98627095.24402463131026782654476383,177713763.9041176509467799014064625,177713763.9041176509467799014064625
1648425454,104041993.6830239094216268128869174,185792988.3763683762776245025202173,185792988.3763683762776245025202173
1648511789,132805755.6183709159677499705829412,218425110.0165457088695321067776662,218425110.0165457088695321067776662
1648598354,191843244.7029466360025069826326504,279745899.101761724459703324352836,279745899.101761724459703324352836
1648684332,219993385.6542434573532832861913548,312271070.3680506437316156296541606,312271070.3680506437316156296541606
1648770397,211403171.6499463448624266894855625,303814512.9790498608038085116166994,303814512.9790498608038085116166994
